NAME:,run4,,
EXPERIMENT TIME:,24-05-22 16:53,,
Activity,Running,,
COUNT OF ACTUAL STEPS,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
27.537,-20.01,-9.53,17.61
27.585,-14.08,20.01,19.34
27.632,-13.73,7.53,-0.16
27.678,-8.94,17.57,8.2
27.724,-13.18,9.77,1.41
27.769,-4.82,5.02,-3.49
27.814,2.35,1.22,-2.04
27.86,1.02,-0.75,-1.49
27.906,-0.16,-1.18,0.47
27.951,-0.75,0.12,2
27.998,-19.65,7.37,16.12
28.044,-17.02,7.73,16.32
28.092,-11.61,16.04,12.28
28.139,-15.18,14.32,5.14
28.184,-7.37,8.24,4.63
28.23,-0.16,1.61,-0.82
28.276,0.9,-4.35,-2.71
28.319,1.84,0.31,2
28.365,-4.35,3.18,-0.24
28.411,-6.32,-1.65,0.04
28.455,2.71,7.88,9.3
28.502,-20.01,8.51,20.01
28.549,-17.18,16.55,8.2
28.595,-11.02,14.44,7.06
28.64,-8.28,8.04,1.69
28.686,-2.71,2.2,-2.51
28.732,2.71,-0.04,-1.73
28.778,-1.33,0,-1.69
28.821,0.86,1.49,0.08
28.868,-3.88,-2,-1.33
28.912,4.16,4.59,8.55
28.961,-19.22,20.01,-17.69
29.008,-4.98,14.95,12.32
29.055,-13.34,14.51,5.02
29.101,-7.88,12.32,1.33
29.145,-2.86,6.83,1.77
29.191,0.71,-2.16,-3.77
29.237,2.28,-2.51,-2.35
29.282,-3.53,1.88,1.1
29.329,-0.55,-0.59,-0.55
29.375,-10.55,1.96,4.43
29.42,1.29,11.14,-8.79
29.468,-20.01,13.22,10.32
29.515,-14.55,10.9,7.14
29.562,-13.96,16.67,5.65
29.607,-7.18,7.45,1.53
29.653,-2.55,5.81,-2.67
29.698,0.35,0.47,-1.26
29.744,-1.26,-0.39,-1.26
29.79,0.71,-0.55,-0.04
29.837,-4.12,-0.98,-2.2
29.882,3.96,4.2,11.38
29.93,-19.02,18.67,-1.57
29.977,-8.63,14.55,13.06
30.024,-12.63,12.32,9.06
30.07,-11.49,13.93,5.02
30.115,-3.45,4.71,6.24
30.161,1.29,-1.61,-3.18
30.207,1.02,-3.02,-2
30.252,-0.63,2.24,1.29
30.299,-1.45,-1.26,-0.59
30.345,-18.4,-2.94,6.86
30.393,-10.04,20.01,16.36
30.439,-15.81,9.3,3.92
30.486,-14.63,18.87,8.67
30.533,-12.51,14,3.1
30.578,-7.34,6.32,1.29
30.623,0.35,1.45,-1.18
30.667,4.2,-1.18,0.04
