NAME:,run_4_1 .csv,,
EXPERIMENT TIME:,24/05/2022 19:34,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
2250.56,-2.9,-4.86,-3.69
2250.6,-2.2,-1.69,-9.77
2250.64,-3.3,-1.73,-3.96
2250.68,-3.88,-3.22,-5.33
2250.72,-13.14,-7.88,2
2250.77,-20.01,20.01,20.01
2250.81,-20.01,2.79,13.18
2250.85,-6.71,3.96,3.37
2250.89,-5.33,3.37,1.69
2250.93,-0.04,2.82,2.98
2250.98,2.67,-4.67,-2.75
2251.02,16.63,-6.55,-7.77
2251.06,-4.51,-3.57,4.12
2251.1,-6.59,-2.59,12.63
2251.14,-20.01,16.99,20.01
2251.19,-9.57,2.24,10.94
2251.23,-20.01,3.8,9.3
2251.27,-16.87,3.33,5.84
2251.31,-17.1,4.82,-9.89
2251.35,-1.02,-3.26,-3.1
2251.4,-3.33,-2,-10.47
2251.44,-3.26,-4.43,-5.14
2251.48,-2.08,-3.22,-7.22
2251.52,-19.3,2,6.86
2251.56,-20.01,20.01,20.01
2251.6,-11.89,4.28,9.26
2251.65,-5.49,2.79,1.22
2251.69,-3.14,3.18,3.45
2251.73,0,-0.35,2.82
2251.77,10.59,-4.2,-7.57
2251.81,0.47,-10.04,-2.63
2251.86,-1.88,4.86,-15.34
2251.9,-6.35,-6.28,20.01
2251.94,-20.01,14.2,20.01
2251.98,-19.93,0.27,10.71
2252.02,-20.01,4.04,8.71
2252.07,-19.5,10.04,-1.49
2252.11,-10.08,-4.82,-5.92
2252.15,-0.86,-3.45,-6.24
2252.19,-4.94,-3.92,-6.24
2252.23,-4.39,-2.71,-5.69
2252.28,-12,-6.16,2.98
2252.32,-20.01,11.41,11.85
2252.36,-20.01,9.1,20.01
2252.4,-8.2,4.98,5.81
2252.44,-6.24,2.51,2.08
2252.49,-0.78,4.28,4
2252.53,0.55,-1.96,1.45
2252.57,19.3,-2.9,-3.57
2252.61,0.51,-0.2,-2
2252.65,-0.75,2.75,-6.2
2252.7,-20.01,8.75,20.01
2252.74,-11.57,12.63,5.45
2252.78,-20.01,1.06,12.2
2252.82,-20.01,3.41,8.08
2252.86,-16.51,0.16,1.61
2252.91,-7.88,-1.1,-3.69
2252.95,-1.61,-3.02,-6.43
2252.99,-1.57,-4.51,-6.43
2253.03,-2.55,-1.65,-5.69
2253.07,-3.69,-3.41,-2.82
2253.12,-15.89,-1.06,4.94
2253.16,-20.01,20.01,20.01
2253.2,-8.83,3.57,5.49
2253.24,-8.28,2.08,2.43
2253.28,-3.3,4.35,3.88
2253.33,0.08,-0.2,2.47
2253.37,8.67,-4.12,-6.94
2253.41,4.98,-9.3,-2.98
2253.45,-0.27,-3.57,-0.39
2253.49,-11.41,11.1,17.69
2253.54,-20.01,8.28,15.06
2253.58,-18.95,-1.26,7.57
2253.62,-18.36,2.35,8.79
2253.66,-15.22,2.04,-0.86
2253.7,-10.36,-1.02,-7.61
2253.75,-1.77,-3.69,-3.8
2253.79,-3.84,-0.98,-5.18
2253.83,-7.57,-1.65,-7.26
2253.87,-14.4,-6.94,0.55
2253.91,-20.01,6.83,8.12
2253.96,-18.4,5.84,13.77
2254,-7.18,2.79,2.82
2254.04,-7.41,1.88,2.94
2254.08,-1.96,2.43,0.47
2254.12,2.82,-6.43,-0.12
2254.17,13.18,-1.73,-9.89
2254.21,-2.82,-8.79,-9.06
2254.25,-8.87,-12.08,15.57
2254.29,-20.01,14.67,20.01
2254.33,-13.73,0.82,12.71
2254.38,-20.01,-0.51,10.47
2254.42,-20.01,3.69,7.85
2254.46,-18.28,4.51,-11.69
2254.5,-3.8,-7.65,-4.75
2254.54,-1.77,-2.59,-7.45
2254.59,-4,-1.49,-4.55
2254.63,-3.06,-5.53,-5.18
2254.67,-12.36,-6,5.3
2254.71,-20.01,17.02,20.01
2254.75,-15.65,3.26,8.43
2254.8,-6.83,4.79,0
2254.84,-9.73,1.73,0.86
2254.88,0.67,3.14,3.8
2254.92,4.08,-5.88,1.37
2254.96,12.94,-1.1,-13.06
2255.01,1.57,2,0.35
2255.05,-12.32,6.28,1.84
2255.09,-19.22,3.22,-8.39
2255.13,-17.06,1.45,13.69
2255.17,-20.01,4.79,9.65
2255.22,-20.01,3.06,5.65
2255.26,-10.4,-0.51,-9.85
2255.3,-1.22,0.16,-5.53
2255.34,-1.84,-5.53,-3.22
2255.38,-0.86,-2.04,-6.63
2255.43,-3.69,1.65,-7.14
2255.47,-16.75,0.86,2.39
2255.51,-20.01,20.01,20.01
2255.55,-9.18,7.57,11.06
2255.59,-8.36,4.47,2.59
2255.64,-1.33,4.55,5.14
2255.68,0.31,-0.2,1.57
2255.72,10.51,-2.55,-13.26
2255.76,-7.53,-1.73,14.75
2255.8,-2.08,4.43,-7.49
2255.84,-8.67,16.2,20.01
2255.89,-20.01,8.94,17.18
2255.93,-18.91,0.86,10.75
2255.97,-20.01,3.37,9.69
2256.01,-17.3,2.47,-2.12
2256.05,-7.65,-5.69,-2.82
2256.1,-0.82,-3.18,-5.06
2256.14,-5.88,-2.35,-5.57
2256.18,-8.2,-2.43,-8.75
2256.22,-16.12,-9.61,4.39
2256.26,-20.01,5.45,10.04
2256.31,-18.48,6.79,16.51
2256.35,-4.28,0.94,1.77
2256.39,-9.06,2.28,2.47
2256.43,-0.78,5.18,3.57
2256.48,2.12,-0.16,1.18
2256.52,12,-0.16,-4.86
2256.56,6.2,-2.24,-7.34
2256.6,3.69,2.94,-6.79
2256.64,-20.01,5.96,20.01
2256.69,-12.94,2,11.22
2256.73,-20.01,-0.24,12.32
2256.77,-20.01,2.94,7.92
2256.81,-15.14,2.9,-1.22
2256.85,-6.63,-0.75,-8.59
2256.9,-2.24,-3.96,-6.08
2256.94,-3.45,-4,-3.41
2256.98,-6.2,-2.28,-8.24
2257.02,-9.73,-3.3,-1.92
2257.06,-16.95,-0.27,7.65
2257.1,-20.01,20.01,20.01
2257.15,-6.24,4.82,3.57
2257.19,-8.98,3.45,1.84
2257.23,-2.55,3.8,2.94
2257.27,1.57,-1.14,2
2257.31,15.14,2.67,-7.77
2257.36,8.94,2.82,-15.65
2257.4,1.45,-3.3,-6.16
2257.44,-20.01,19.5,-6
2257.48,-20.01,9.96,14.2
2257.52,-20.01,-1.18,12.47
2257.57,-20.01,5.18,7.88
2257.61,-16.55,-0.12,0.12
2257.65,-11.65,-0.47,-10.51
2257.69,-2.59,-3.41,-4.55
2257.74,-4.31,-6.12,-6.9
2257.78,-3.73,-2.28,-6.79
2257.82,-9.22,-4.9,-1.41
2257.86,-20.01,-0.39,10.12
2257.9,-20.01,6.83,20.01
2257.95,-5.3,6.75,10.16
2257.99,-6.71,2.9,0.2
2258.03,-1.84,3.69,0.9
2258.07,0.78,0.24,1.49
2258.11,8.9,-3.22,-4.43
2258.16,4.86,-2.59,-5.45
2258.2,7.85,14.12,-12.43
2258.24,-15.93,10.4,15.73
2258.28,-20.01,11.81,7.96
2258.32,-20.01,5.22,10.2
2258.36,-18.16,0.24,2.9
2258.41,-13.14,1.53,-0.55
2258.45,-7.49,-0.47,-5.49
2258.49,-2.24,-3.33,-6.67
2258.53,-2.71,-1.96,-3.41
2258.57,-5.33,-1.96,-7.69
2258.62,-17.3,-7.81,2
2258.66,-20.01,17.69,20.01
2258.7,-16.95,2,9.92
2258.74,-6.55,0.67,3.84
2258.78,-5.06,3.37,3.69
2258.83,1.06,2.24,3.22
2258.87,3.73,-4,-4.35
2258.91,12.79,-9.38,0.35
2258.95,1.18,0.43,-3.77
2259,-5.02,-5.45,15.73
2259.04,-20.01,18.63,13.45
2259.08,-20.01,-0.78,10.32
2259.12,-20.01,4.79,8.39
2259.16,-13.73,2.16,0.63
2259.21,-9.18,-1.88,-4.9
2259.25,-1.26,-1.14,-6.2
2259.29,-4.31,-3.41,-4.59
2259.33,-4.12,-0.2,-7.06
2259.37,-15.06,-2,-1.61
2259.42,-20.01,11.57,16.79
2259.46,-20.01,13.73,20.01
2259.5,-11.96,1.29,9.34
2259.54,-5.14,2.55,2.47
2259.58,-2.04,1.96,-1.8
2259.63,-1.06,-4.16,1.14
2259.67,13.69,-1.29,-4.59
2259.71,-3.8,-6,9.02
2259.75,4.04,-4.55,-6.2
2259.79,-20.01,10,18.55
2259.83,-20.01,-4.08,10.94
2259.88,-20.01,5.88,9.96
2259.92,-14.47,3.84,1.06
2259.96,-8.24,0.78,-2.47
2260,-2.04,0.78,-5.92
2260.04,-2.67,-5.26,-7.14
2260.09,-13.34,0.67,-6.94
2260.13,-5.53,-2,-3.61
2260.17,-15.53,-3.1,4.67
2260.21,-20.01,20.01,20.01
2260.25,-9.22,8.28,11.22
2260.3,-7.96,2.59,3.45
2260.34,-4.51,0.94,-1.1
2260.38,1.18,2.67,0.31
2260.42,2.59,-3.8,-3.53
2260.47,2,-4.9,-4.98
2260.51,-1.53,-4.47,1.45
2260.55,-4.28,-5.37,10.4
2260.59,-20.01,16.91,9.89
2260.63,-11.85,-0.39,6.71
2260.68,-20.01,1.69,8
2260.72,-19.42,1.77,8.08
2260.76,-15.14,2.63,-7.61
2260.8,-4.28,-5.02,-4.47
2260.84,-2,-3.26,-5.1
2260.89,-2.75,-3.22,-4.35
2260.93,-5.57,-1.92,-6.55
2260.97,-14.67,-7.41,4.98
2261.01,-20.01,0.04,10.16
2261.05,-20.01,9.92,11.41
2261.09,-5.88,2,3.06
2261.14,-9.34,1.92,1.92
2261.18,-2.75,1.96,0.08
2261.22,-0.71,-2.47,0.82
2261.26,15.46,7.92,-12.79
2261.3,1.22,1.96,-4.24
2261.35,-1.53,-1.41,1.73
2261.39,-20.01,16.24,14.83
2261.43,-15.14,3.49,17.5
2261.47,-20.01,-1.33,10.32
2261.51,-20.01,2.47,6.32
2261.56,-14.16,4.28,-3.41
2261.6,-8.28,-3.73,-3.06
2261.64,-1.22,-2.24,-7.18
2261.68,-3.92,-3.41,-4.67
2261.73,-5.1,0.51,-7.22
2261.77,-14.91,-6.32,1.45
2261.81,-20.01,20.01,20.01
2261.85,-14.08,0,13.22
2261.89,-5.81,-0.12,2.63
2261.94,-6.08,5.88,5.1
2261.98,-0.31,2.75,2.2
2262.02,3.06,-1.65,-2.31
2262.06,12.94,-0.98,-2.2
2262.1,0.82,-2.51,-0.39
2262.15,-6.55,7.41,9.14
2262.19,-20.01,8.94,17.3
2262.23,-20.01,-3.1,8.39
2262.27,-20.01,3.73,9.61
2262.31,-16.59,2.08,-0.27
2262.35,-9.96,0.67,-5.65
2262.4,0,-2.59,-3.45
2262.44,-0.31,-2.67,-5.92
2262.48,-5.14,-1.22,-7.34
2262.52,-13.93,-7.57,0.27
2262.56,-20.01,9.22,11.96
2262.61,-20.01,12.67,20.01
2262.65,-9.18,5.53,8
2262.69,-5.84,5.18,4.31
2262.73,-0.59,2.94,2.51
2262.77,0.55,-2.43,0.24
2262.82,13.26,-6.24,-6.43
2262.86,-3.92,-18.44,17.53
2262.9,-0.71,-0.24,-3.02
2262.94,-20.01,-10,15.34
2262.99,-13.85,8.47,3.1
2263.03,-20.01,5.02,7.3
2263.07,-16.99,2.43,3.77
2263.11,-10.83,3.33,-0.67
2263.15,-1.8,-1.45,-3.88
2263.2,-3.65,-3.53,-6.86
2263.24,-6.94,-1.37,-8.2
2263.28,-12.24,-3.61,-6.86
2263.32,-20.01,2.16,8.67
2263.36,-20.01,18.04,20.01
2263.41,-8.32,7.53,7.57
2263.45,-4.98,5.1,3.69
2263.49,-0.31,2.24,1.41
2263.53,2.24,-2.35,0.24
2263.57,16.08,-5.22,-5.61
2263.61,4.24,0.08,-13.61
2263.66,2.86,1.18,-4.9
2263.7,-20.01,-5.41,20.01
2263.74,-6.9,2.39,-1.02
2263.78,-20.01,-0.98,10.28
2263.82,-18.51,3.06,6.71
2263.87,-11.22,0.47,-0.94
2263.91,-7.37,-0.43,-0.55
2263.95,0.43,-2.75,-1.73
2263.99,0.71,-7.81,-9.57
2264.03,-11.14,0.86,-12.71
2264.08,-17.3,-2.86,10.24
2264.12,-20.01,20.01,20.01
2264.16,-12.36,2.75,6.63
2264.2,-5.73,3.33,2.39
2264.25,-4.98,2.79,2.82
2264.29,-0.35,-0.67,2.94
2264.33,5.57,-9.34,-2.86
2264.37,3.14,-5.88,6.2
2264.41,-8.75,17.02,-1.22
2264.46,5.02,7.06,6.39
2264.5,-13.38,8.08,12.98
2264.54,-20.01,0.51,5.45
2264.58,-17.97,2.28,7.1
2264.62,-13.81,0.51,-0.43
2264.67,-6.16,-3.33,-4.55
2264.71,-1.96,-1.53,-5.88
2264.75,-3.41,-3.57,-4.75
2264.79,-4.71,-1.26,-7.3
2264.83,-18.4,-7.92,6.32
2264.88,-20.01,8.51,19.46
2264.92,-18.67,10.24,15.97
2264.96,-6.24,2.28,2.04
2265,-6,2.39,2
2265.04,2.24,2.31,2.98
2265.08,1.65,-5.41,-1.84
2265.13,5.22,-6.71,-1.65
2265.17,-1.14,-0.24,-1.29
2265.21,-15.38,-4.67,20.01
2265.25,-19.97,11.65,12.4
2265.29,-12.91,-1.65,4.71
2265.34,-16.59,3.22,10
2265.38,-10.12,2.79,2.12
2265.42,-10.28,2.47,-3.88
2265.46,-5.61,-3.61,-5.33
2265.5,-4.94,-1.8,-4
2265.55,-4.47,-2.2,-5.41
2265.59,-17.46,-8.94,2.79
2265.63,-20.01,10.2,15.1
2265.67,-20.01,0.43,19.93
2265.72,-5.41,5.14,2.98
2265.76,-5.92,3.96,3.88
2265.8,-0.2,3.65,0.9
2265.84,1.57,-0.55,-1.53
2265.88,9.92,-2.31,-6.51
2265.93,-7.34,0.04,2.63
2265.97,6.98,10.04,-10.16
2266.01,-20.01,6.35,20.01
2266.05,-11.45,-4.59,0.75
2266.09,-20.01,7.3,12.04
2266.14,-14.59,0.55,6.55
2266.18,-13.49,2.28,-4.16
2266.22,-6.51,0.59,-5.06
2266.26,-2.98,-2.55,-4.04
2266.3,-2.9,-5.41,-7.22
2266.34,-6.32,1.57,-8.59
2266.39,-13.14,-4.86,0.98
2266.43,-20.01,11.49,20.01
2266.47,-12.67,5.69,12.94
