NAME:,yoniwal1.csv,,
EXPERIMENT TIME:,Tue May 24 16:48:04 GMT+03:00 2022,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,74,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
755.37,2.2,8.94,2.16
755.42,1.45,8.79,2.98
755.48,0.9,8,3.73
755.53,1.49,7.18,4.04
755.59,1.02,7.3,4.24
755.64,1.53,7.77,4.08
755.69,1.88,8.71,4.63
755.75,0.75,9.41,5.26
755.8,0.31,8.67,6.9
755.86,2.12,10.04,4.63
755.91,6.47,19.97,1.06
755.96,1.96,3.69,1.84
756.02,2.31,9.26,0.27
756.07,3.73,8.87,1.18
756.13,2.12,7.14,1.61
756.18,0.94,8.71,1.69
756.23,0.24,9.34,1.92
756.29,0.71,9.41,1.92
756.34,1.41,8.79,2.08
756.4,0.94,9.18,2.04
756.45,0.71,8.9,2.04
756.5,-0.55,9.34,2.16
756.56,0.59,9.69,1.92
756.61,0.47,10.08,1.45
756.66,0.16,9.18,0.78
756.72,2.39,10.71,2.2
756.77,1.77,12.71,0.63
756.83,4.35,8.98,1.14
756.88,1.22,9.45,2.9
756.93,2.55,9.1,1.37
756.99,1.84,7.45,1.29
757.04,1.84,9.34,1.73
757.1,2.16,8.51,3.22
757.15,0.94,7.81,3.26
757.2,0.94,8.12,3.22
757.26,0.9,7.49,4.16
757.31,1.22,7.65,4.43
757.37,1.02,8,4.67
757.42,1.1,8.2,4.39
757.47,1.22,9.06,5.3
757.53,2.2,11.34,3.88
757.58,5.92,13.73,0.12
757.64,5.33,6.79,3.61
757.69,2.9,6.98,1.02
757.74,1.8,9.96,0.98
757.8,2.59,6.63,0.35
757.85,1.73,7.69,1.73
757.91,0.86,8.43,2.08
757.96,0.59,8.51,1.77
758.01,0.75,9.38,2.2
758.07,0.71,8.94,1.92
758.12,0.86,8.94,1.88
758.17,1.26,8.94,1.61
758.23,0.16,9.1,1.69
758.28,1.22,9.73,2.12
758.34,-1.45,10.71,0.94
758.39,1.49,8.94,2.47
758.44,-0.08,11.53,1.18
758.5,6.28,11.45,-0.04
758.55,1.96,9.1,2.04
758.61,0.9,10.36,2.12
758.66,1.8,9.34,1.06
758.71,1.77,8.12,1.18
758.77,2.86,8.59,1.92
758.82,1.84,7.49,2.98
758.88,0.86,7.3,3.84
758.93,0.94,7.96,4.12
758.98,0.86,7.77,4.55
759.04,0.82,8.12,4.51
759.09,1.41,8.51,4.28
759.15,1.26,9.85,4.94
759.2,0.59,9.61,6.98
759.26,6.51,12.47,-0.94
759.31,5.18,9.41,4.12
759.36,2.43,5.96,2.0
759.42,2.67,10.2,0.0
759.47,4.08,6.47,1.61
759.53,1.45,8.83,1.26
759.58,1.02,8.9,1.96
759.63,0.43,8.79,1.92
759.69,1.69,9.18,1.73
759.74,0.94,9.65,1.61
759.79,0.75,8.94,1.88
759.85,0.94,8.9,1.65
759.9,0.67,8.79,1.65
759.96,0.55,9.34,1.92
760.01,-0.47,10.43,2.55
760.07,-0.39,10.63,1.22
760.12,3.18,9.1,3.37
760.17,-0.71,12.59,1.37
760.23,4.9,10.51,-0.59
760.28,1.92,8.79,1.84
760.34,1.37,9.96,1.29
760.39,2.16,8.43,0.12
760.44,1.57,8.83,0.71
760.5,2.04,8.75,2.08
760.55,0.55,7.81,2.94
760.6,1.41,6.47,4.16
760.66,0.67,7.53,4.12
760.71,1.06,7.85,4.39
760.77,1.41,8.08,3.77
760.82,1.1,9.34,4.39
760.87,1.29,10.08,6.51
760.93,4.31,11.96,2.75
760.98,7.06,15.85,1.26
761.04,3.53,3.18,2.43
761.09,2.75,9.57,-0.47
761.15,3.22,7.53,2.0
761.2,2.9,6.32,1.33
761.25,0.75,8.71,1.45
761.31,-0.08,8.32,2.43
761.36,0.55,7.69,2.9
761.41,2.55,9.73,1.45
761.47,-0.12,8.59,2.67
761.52,0.82,8.83,2.28
761.58,0.75,9.14,2.0
761.63,-0.78,9.81,1.84
761.68,0,9.3,2.9
761.74,-0.75,9.49,2.51
761.79,0.67,11.96,2.2
761.85,1.02,11.26,0.2
761.9,6.75,10.83,-0.12
761.95,3.06,8.16,2.59
762.01,-0.27,11.49,4.43
762.06,0.82,8.16,0.9
762.12,2.04,8.24,1.45
762.17,3.69,8.32,2.0
762.22,1.33,7.1,3.73
762.28,0.55,6.94,4.31
762.33,0.63,7.88,4.63
762.39,0.9,7.88,4.94
762.44,1.8,8.55,4.71
762.49,1.77,9.18,4.86
762.55,1.02,9.45,7.02
762.6,3.57,8.94,5.02
762.66,7.06,19.26,2.55
762.71,2.79,4.08,2.31
762.76,1.57,5.88,0.55
762.82,3.1,7.88,1.53
762.87,1.06,7.49,2.12
762.93,-0.16,8.59,2.24
762.98,0,9.45,2.67
763.03,1.29,8.98,1.92
763.09,0.94,8.9,2.08
763.14,0.43,8.83,2.04
763.2,0.86,8.71,1.88
763.25,1.45,9.69,1.14
763.3,0.24,9.53,2.2
763.36,-1.49,10.47,1.77
763.41,0.2,9.85,1.8
763.47,-0.63,12,2.39
763.52,6.12,12.2,-1.45
